"
"constantes calculées
"Nom	Amplitude	Phase
METRIC    0   0   0  1
Z0     4.248606783695329
SA      0.06239584601456833      261.0312275580846
SSA      0.026908634577655226      153.16028522702024
MSF      0.048498867875043115      258.99154484693275
MF      0.02030103431079813      17.359346755599525
2Q1      0.004578809223066002      22.130399496536914
SIGMA1      0.0039796306817170305      51.28529628252978
Q1      0.020510089044970304      77.23232786687798
RHO1      0.00489923627192298      217.91908919832156
O1      0.06058378615773215      134.04329786691582
MS1      0.12822890305869952      97.5033004043079
MP1      0.0029814741165557286      238.89530584757654
PI1      0.002196522520870645      178.84907502175756
P1      0.02298304960289044      241.50421027669336
S1      0.006007099619509418      281.4708431727318
K1      0.06573214790485034      257.42757520763894
PSI1      0.00149987811303237      27.25352957095532
2MN2S2      0.0021726284229651354      252.2284692564341
2NS2      0.002119665070039616      315.14601786492295
3M2S2      0.005019050477384795      257.6590457143517
OQ2      0.003980829711401175      33.188002741571815
MNS2      0.02275151088735366      54.385950621195654
MNUS2      0.0057273846629163246      57.86763774338546
2MK2      0.014945576303065809      125.85511982597282
2N2      0.05628756928342113      41.83843271661063
MU2      0.08876125785381216      80.48826108129381
N2      0.4113321653536059      71.20720522668987
NU2      0.07747216688543775      68.8858357085286
OP2      0.008012524727271979      224.55499451182575
GAMMA2      0.00937541062988359      11.294313510206567
M(SK)2      0.008388879592586738      149.62914236186447
M2      2.0365984326249436      96.52796801879047
M(KS)2      0.007246171124260524      167.27515843284232
MKS2      0.0065498120660681895      198.76245879856617
LAMBDA2      0.025516713986490917      67.92448414648906
L2      0.07067547259563245      89.98289781660868
NKM2      0.018617317071338044      206.31039857130915
T2      0.040222181742037476      138.38215504473095
S2      0.7497858034117176      148.68855821471604
R2      0.00601857349464367      158.2276568680548
K2      0.2120254609752386      148.40807457976157
MSN2      0.012413865846311843      301.4650708199993
KJ2      0.011087837512316035      205.75822344679975
2SM2      0.042692477831714946      280.63975142595984
SKM2      0.00858221136998758      317.02666651335693
2MK3      0.004745119336339093      33.89437761053954
M3      0.024787697486863106      167.59449550132504
MS3      0.14586814177038393      274.5952280838931
MK3      0.002464562213879124      113.42097231595424
SP3      0.005798482905319578      338.2205875671868
S3      0.0019146334825731446      172.45098911499295
SK3      0.004777335362584273      244.5745491091289
2MNS4      0.0014269083355355004      300.32351850031597
N4      0.0014715878582866049      310.48177971376566
3MS4      0.0020691192843815664      292.966261992868
MN4      0.018325387149412193      25.661071863279663
MNU4      0.005201788748213117      46.01603651485925
2MSK4      0.0038071821838796312      228.74072083289545
M4      0.050433862112035946      81.34346137400274
SN4      0.02061708449165786      236.85757275488535
3MN4      0.012706450440821629      263.0998536939411
NK4      0.006587799608973197      107.26093372533977
MT4      0.0036503341167085646      117.75814861131114
MS4      0.06879586077640057      245.36072543792167
MK4      0.00927305557137032      168.9145729132182
2MSN4      0.004571409425152255      44.102438194712114
S4      0.0016773519753617353      253.2406712671969
SK4      0.0014461701583736034      229.89805294571633
3MNS6      0.004857230483128777      32.22343690901938
3MNUS6      0.0014411568394881369      0.6540999182510856
4MK6      0.004047727931168134      19.84437634481819
2NM6      0.008286487975037612      232.9906480833788
4MS6      0.003514778919779896      68.22745274362585
2MN6      0.019049187650826135      289.90533213528556
2MNU6      0.0054402696186831145      286.076011876287
3MSK6      0.0024144427886510977      111.10487545380762
M6      0.029709504226188926      320.15077846617925
3MKS6      0.002845990035313204      124.69370154772984
MSN6      0.0023933168860012914      354.37332064033507
4MN6      0.005222684342930109      207.94839930133753
MNK6      0.004673402127121936      94.24711509139566
2MT6      0.001073864127815082      20.348851933098377
2MS6      0.010555141785673433      11.950599064074945
2MK6      0.00471450532003566      36.44760849556847
2SN6      0.01283910447208281      248.04604333402037
3MSN6      0.006158095405247124      256.18109136399886
2SM6      0.03741582577180917      275.4798138697494
MSK6      0.0017732163779527594      322.08311915995006
3MN8      0.002168915651903042      175.02551210021716
M8      0.003304601500679282      209.9817237966318
3MS8      0.001722799392443744      215.11433438251197
4MSN8      0.002032938801916451      143.17170379267247
2(MS)8      0.0047158801804756505      252.11194427857583
4MN10      0.0015621705828713455      129.0599021003092
M10      0.0021604060451555734      164.18546175007407
3MSN10      0.0025191288614423457      193.93728545020664
4MS10      0.003595657063866243      223.66031962981336
3M2S10      0.0012469494570411244      177.36486102408693
